id,symbol,price_start,price_end,price_max,price_min,volume,time_epoch,date_time
249,bch,0.00,834000.00,0.00,0.00,0.00,1530009000000,"2018-06-26 10:30:00"
250,ltc,0.00,90500.00,0.00,0.00,0.00,1530009000000,"2018-06-26 10:30:00"
251,dash,0.00,263800.00,0.00,0.00,0.00,1530009000000,"2018-06-26 10:30:00"
252,etc,0.00,17500.00,0.00,0.00,0.00,1530009000000,"2018-06-26 10:30:00"
253,btc,0.00,6993000.00,0.00,0.00,0.00,1530010800000,"2018-06-26 11:00:00"
254,eth,0.00,508000.00,0.00,0.00,0.00,1530010800000,"2018-06-26 11:00:00"
255,xrp,0.00,538.00,0.00,0.00,0.00,1530010800000,"2018-06-26 11:00:00"
256,bch,0.00,838000.00,0.00,0.00,0.00,1530010800000,"2018-06-26 11:00:00"
257,ltc,0.00,91300.00,0.00,0.00,0.00,1530010800000,"2018-06-26 11:00:00"
258,dash,0.00,265900.00,0.00,0.00,0.00,1530010800000,"2018-06-26 11:00:00"
259,etc,0.00,17640.00,0.00,0.00,0.00,1530010800000,"2018-06-26 11:00:00"
260,btc,0.00,6983000.00,0.00,0.00,0.00,1530012600000,"2018-06-26 11:30:00"
261,eth,0.00,506000.00,0.00,0.00,0.00,1530012600000,"2018-06-26 11:30:00"
262,xrp,0.00,537.00,0.00,0.00,0.00,1530012600000,"2018-06-26 11:30:00"
263,bch,0.00,833000.00,0.00,0.00,0.00,1530012600000,"2018-06-26 11:30:00"
264,ltc,0.00,90100.00,0.00,0.00,0.00,1530012600000,"2018-06-26 11:30:00"
265,dash,0.00,263000.00,0.00,0.00,0.00,1530012600000,"2018-06-26 11:30:00"
266,etc,0.00,17570.00,0.00,0.00,0.00,1530012600000,"2018-06-26 11:30:00"
267,btc,0.00,6971000.00,0.00,0.00,0.00,1530014400000,"2018-06-26 12:00:00"
268,eth,0.00,506000.00,0.00,0.00,0.00,1530014400000,"2018-06-26 12:00:00"
269,xrp,0.00,536.00,0.00,0.00,0.00,1530014400000,"2018-06-26 12:00:00"
270,bch,0.00,832000.00,0.00,0.00,0.00,1530014400000,"2018-06-26 12:00:00"
271,ltc,0.00,90300.00,0.00,0.00,0.00,1530014400000,"2018-06-26 12:00:00"
272,dash,0.00,265800.00,0.00,0.00,0.00,1530014400000,"2018-06-26 12:00:00"
273,etc,0.00,17470.00,0.00,0.00,0.00,1530014400000,"2018-06-26 12:00:00"
274,btc,0.00,6988000.00,0.00,0.00,0.00,1530016200000,"2018-06-26 12:30:00"
275,eth,0.00,507500.00,0.00,0.00,0.00,1530016200000,"2018-06-26 12:30:00"
276,xrp,0.00,539.00,0.00,0.00,0.00,1530016200000,"2018-06-26 12:30:00"
277,bch,0.00,838000.00,0.00,0.00,0.00,1530016200000,"2018-06-26 12:30:00"
278,ltc,0.00,91000.00,0.00,0.00,0.00,1530016200000,"2018-06-26 12:30:00"
279,dash,0.00,265900.00,0.00,0.00,0.00,1530016200000,"2018-06-26 12:30:00"
280,etc,0.00,17610.00,0.00,0.00,0.00,1530016200000,"2018-06-26 12:30:00"
281,btc,0.00,6987000.00,0.00,0.00,0.00,1530018000000,"2018-06-26 13:00:00"
282,eth,0.00,507500.00,0.00,0.00,0.00,1530018000000,"2018-06-26 13:00:00"
283,xrp,0.00,537.00,0.00,0.00,0.00,1530018000000,"2018-06-26 13:00:00"
284,bch,0.00,837000.00,0.00,0.00,0.00,1530018000000,"2018-06-26 13:00:00"
285,ltc,0.00,90600.00,0.00,0.00,0.00,1530018000000,"2018-06-26 13:00:00"
286,dash,0.00,265900.00,0.00,0.00,0.00,1530018000000,"2018-06-26 13:00:00"
